test_type,gender,age_min,age_max,run_min,run_max,score
run_km,male,22,24,11:01,11:10,37
run_km,male,22,24,11:11,11:20,36
run_km,male,22,24,11:21,11:30,36
run_km,male,22,24,11:31,11:40,35
run_km,male,22,24,11:41,11:50,35
run_km,male,22,24,11:51,12:00,34
run_km,male,22,24,12:01,12:10,33
run_km,male,22,24,12:11,12:20,32
run_km,male,22,24,12:21,12:30,31
run_km,male,22,24,12:31,12:40,30
run_km,male,22,24,12:41,12:50,29
run_km,male,22,24,12:51,13:00,28
run_km,male,22,24,13:01,13:10,27
run_km,male,22,24,13:11,13:20,26
run_km,male,22,24,13:21,13:30,25
run_km,male,22,24,13:31,13:40,24
run_km,male,22,24,13:41,13:50,23
run_km,male,22,24,13:51,14:00,22
run_km,male,22,24,14:01,14:10,21
run_km,male,22,24,14:11,14:20,20
run_km,male,22,24,14:21,14:30,19
run_km,male,22,24,14:31,14:40,18
run_km,male,22,24,14:41,14:50,16
run_km,male,22,24,14:51,15:00,14
run_km,male,22,24,15:01,15:10,12
run_km,male,22,24,15:11,15:20,10
run_km,male,22,24,15:21,15:30,8
run_km,male,22,24,15:31,15:40,6
run_km,male,22,24,15:41,15:50,4
run_km,male,22,24,15:51,16:00,2
run_km,male,22,24,16:01,16:10,1
run_km,male,22,24,16:11,16:20,0
run_km,male,22,24,16:21,16:30,0
run_km,male,22,24,16:31,16:40,0
run_km,male,22,24,16:41,16:50,0
run_km,male,22,24,16:51,17:00,0
run_km,male,22,24,17:01,17:10,0
run_km,male,22,24,17:11,17:20,0
run_km,male,22,24,17:21,17:30,0
run_km,male,22,24,17:31,17:40,0
run_km,male,22,24,17:41,17:50,0
run_km,male,22,24,17:51,18:00,0
run_km,male,22,24,18:01,18:10,0
run_km,male,22,24,18:11,18:20,0
run_km,male,22,24,0:00,8:30,50
run_km,male,22,24,8:31,8:40,50
run_km,male,22,24,8:41,8:50,49
run_km,male,22,24,8:51,9:00,48
run_km,male,22,24,9:01,9:10,47
run_km,male,22,24,9:11,9:20,46
run_km,male,22,24,9:21,9:30,45
run_km,male,22,24,9:31,9:40,44
run_km,male,22,24,9:41,9:50,43
run_km,female,22,24,0:00,10:00,50
run_km,female,22,24,10:01,10:10,50
run_km,female,22,24,10:11,10:20,50
run_km,female,22,24,10:21,10:30,49
run_km,female,22,24,10:31,10:40,48
run_km,female,22,24,10:41,10:50,47
run_km,female,22,24,10:51,11:00,46
run_km,female,22,24,11:01,11:10,46
run_km,female,22,24,11:11,11:20,45
run_km,female,22,24,11:21,11:30,45
run_km,female,22,24,11:31,11:40,44
run_km,female,22,24,11:41,11:50,44
run_km,female,22,24,11:51,12:00,43
run_km,female,22,24,12:01,12:10,43
run_km,female,22,24,12:11,12:20,42
run_km,female,22,24,12:21,12:30,42
run_km,female,22,24,12:31,12:40,41
run_km,female,22,24,12:41,12:50,41
run_km,female,22,24,12:51,13:00,39
run_km,female,22,24,13:01,13:10,39
run_km,female,22,24,13:11,13:20,38
run_km,female,22,24,13:21,13:30,38
run_km,female,22,24,13:31,13:40,38
run_km,female,22,24,13:41,13:50,37
run_km,female,22,24,13:51,14:00,37
run_km,female,22,24,14:01,14:10,37
run_km,female,22,24,14:11,14:20,36
run_km,female,22,24,14:21,14:30,36
run_km,female,22,24,14:31,14:40,36
run_km,female,22,24,14:41,14:50,35
run_km,female,22,24,14:51,15:00,35
run_km,female,22,24,15:01,15:10,35
run_km,female,22,24,15:11,15:20,34
run_km,female,22,24,15:21,15:30,34
run_km,female,22,24,15:31,15:40,33
run_km,female,22,24,15:41,15:50,33
run_km,female,22,24,15:51,16:00,32
run_km,female,22,24,16:01,16:10,32
run_km,female,22,24,16:11,16:20,31
run_km,female,22,24,16:21,16:30,31
run_km,female,22,24,16:31,16:40,30
run_km,female,22,24,16:41,16:50,30
run_km,female,22,24,16:51,17:00,29
run_km,female,22,24,17:01,17:10,28
run_km,female,22,24,17:11,17:20,27
run_km,female,22,24,17:21,17:30,26
run_km,female,22,24,17:31,17:40,25
run_km,female,22,24,17:41,17:50,24
run_km,female,22,24,17:51,18:00,23
run_km,female,22,24,18:01,18:10,22
run_km,female,22,24,18:11,18:20,21
run_km,female,22,24,18:21,18:30,20
run_km,female,22,24,18:31,18:40,18
run_km,female,22,24,18:41,18:50,16
run_km,female,22,24,18:51,19:00,14
