test_type,gender,age_min,age_max,performance_reps,score
situp,male,0,21,60,25
situp,male,0,21,59,24
situp,male,0,21,58,24
situp,male,0,21,57,24
situp,male,0,21,56,24
situp,male,0,21,55,23
situp,male,0,21,54,23
situp,male,0,21,53,23
situp,male,0,21,52,23
situp,male,0,21,51,22
situp,male,0,21,50,22
situp,male,0,21,49,22
situp,male,0,21,48,22
situp,male,0,21,47,21
situp,male,0,21,46,21
situp,male,0,21,45,21
situp,male,0,21,44,21
situp,male,0,21,43,20
situp,male,0,21,42,20
situp,male,0,21,41,20
situp,male,0,21,40,20
situp,male,0,21,39,19
situp,male,0,21,38,19
situp,male,0,21,37,18
situp,male,0,21,36,18
situp,male,0,21,35,17
situp,male,0,21,34,16
situp,male,0,21,33,15
situp,male,0,21,32,14
situp,male,0,21,31,14
situp,male,0,21,30,13
situp,male,0,21,29,13
situp,male,0,21,28,12
situp,male,0,21,27,11
situp,male,0,21,26,10
situp,male,0,21,25,9
situp,male,0,21,24,8
situp,male,0,21,23,7
situp,male,0,21,22,7
situp,male,0,21,21,6
situp,male,0,21,20,6
situp,male,0,21,19,5
situp,male,0,21,18,4
situp,male,0,21,17,3
situp,male,0,21,16,2
situp,male,0,21,15,1
situp,male,0,21,14,0
situp,male,0,21,13,0
situp,male,0,21,12,0
situp,male,0,21,11,0
situp,male,0,21,10,0
situp,male,0,21,9,0
situp,male,0,21,8,0
situp,male,0,21,7,0
situp,male,0,21,6,0
situp,male,0,21,5,0
situp,male,0,21,4,0
situp,male,0,21,3,0
situp,male,0,21,2,0
situp,male,0,21,1,0
situp,female,0,21,52,25
situp,female,0,21,51,24
situp,female,0,21,50,24
situp,female,0,21,49,24
situp,female,0,21,48,24
situp,female,0,21,47,23
situp,female,0,21,46,23
situp,female,0,21,45,23
situp,female,0,21,44,22
situp,female,0,21,43,22
situp,female,0,21,42,22
situp,female,0,21,41,21
situp,female,0,21,40,21
situp,female,0,21,39,21
situp,female,0,21,38,20
situp,female,0,21,37,20
situp,female,0,21,36,20
situp,female,0,21,35,19
situp,female,0,21,34,19
situp,female,0,21,33,19
situp,female,0,21,32,18
situp,female,0,21,31,18
situp,female,0,21,30,18
situp,female,0,21,29,17
situp,female,0,21,28,16
situp,female,0,21,27,16
situp,female,0,21,26,15
situp,female,0,21,25,15
situp,female,0,21,24,14
situp,female,0,21,23,13
situp,female,0,21,22,12
situp,female,0,21,21,11
situp,female,0,21,20,10
situp,female,0,21,19,8
situp,female,0,21,18,6
situp,female,0,21,17,4
situp,female,0,21,16,2
situp,female,0,21,15,1
situp,female,0,21,14,0
situp,female,0,21,13,0
situp,female,0,21,12,0
situp,female,0,21,11,0
situp,female,0,21,10,0
situp,female,0,21,9,0
situp,female,0,21,8,0
situp,female,0,21,7,0
situp,female,0,21,6,0
situp,female,0,21,5,0
situp,female,0,21,4,0
situp,female,0,21,3,0
situp,female,0,21,2,0
situp,female,0,21,1,0
situp,male,22,24,60,25
situp,male,22,24,59,25
situp,male,22,24,58,24
situp,male,22,24,57,24
situp,male,22,24,56,24
situp,male,22,24,55,24
situp,male,22,24,54,23
situp,male,22,24,53,23
situp,male,22,24,52,23
situp,male,22,24,51,23
situp,male,22,24,50,22
situp,male,22,24,49,22
situp,male,22,24,48,22
situp,male,22,24,47,22
situp,male,22,24,46,21
situp,male,22,24,45,21
situp,male,22,24,44,21
situp,male,22,24,43,21
situp,male,22,24,42,20
situp,male,22,24,41,20
situp,male,22,24,40,20
situp,male,22,24,39,20
situp,male,22,24,38,19
situp,male,22,24,37,19
situp,male,22,24,36,18
situp,male,22,24,35,18
situp,male,22,24,34,17
situp,male,22,24,33,16
situp,male,22,24,32,15
situp,male,22,24,31,14
situp,male,22,24,30,14
situp,male,22,24,29,13
situp,male,22,24,28,13
situp,male,22,24,27,12
situp,male,22,24,26,11
situp,male,22,24,25,10
situp,male,22,24,24,9
situp,male,22,24,23,8
situp,male,22,24,22,7
situp,male,22,24,21,7
situp,male,22,24,20,6
situp,male,22,24,19,6
situp,male,22,24,18,5
situp,male,22,24,17,4
situp,male,22,24,16,3
situp,male,22,24,15,2
situp,male,22,24,14,1
situp,male,22,24,13,0
situp,male,22,24,12,0
situp,male,22,24,11,0
situp,male,22,24,10,0
situp,male,22,24,9,0
situp,male,22,24,8,0
situp,male,22,24,7,0
situp,male,22,24,6,0
situp,male,22,24,5,0
situp,male,22,24,4,0
situp,male,22,24,3,0
situp,male,22,24,2,0
situp,male,22,24,1,0
situp,female,22,24,52,25
situp,female,22,24,51,25
situp,female,22,24,50,25
situp,female,22,24,49,24
situp,female,22,24,48,24
situp,female,22,24,47,24
